country	continent	intercept	slope	maxResid
Libya	Africa	42.1019358974359	0.625535664335664	1.6588227115844
Tunisia	Africa	44.5553076923077	0.587843356643357	1.90095268404707
Gambia	Africa	28.4003717948718	0.581825874125874	1.50657723207706
Nicaragua	Americas	43.0451282051282	0.55651958041958	1.630089057801
Honduras	Americas	42.9924102564102	0.542851748251748	1.69486842294202
Guatemala	Americas	42.1193974358974	0.531273426573427	1.85904171126197
Oman	Asia	37.2077435897436	0.772179020979021	1.71979220067964
Vietnam	Asia	39.0100769230769	0.671615384615385	1.66588214383512
Saudi Arabia	Asia	40.8141153846154	0.649623076923077	1.80947928451322
Turkey	Europe	46.0223205128205	0.49723986013986	2.12483013708541
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755245	1.89197950205163
Portugal	Europe	61.1467948717949	0.337201398601399	1.39937199123712
Australia	Oceania	68.4005128205128	0.227723776223776	1.65158583262961
New Zealand	Oceania	68.6869230769231	0.192820979020979	1.6006118098736
